name,email,phone,location,skills,experience_years,education,category,resume_text
Christopher Moore,david.kim@company.com,+1-555-1164,"Boston, MA","Java, JavaScript, C++, Go, HTML, CSS, jQuery, Bootstrap, MySQL, Windows, Agile, Photoshop, Illustrator",7,Ba,Web Designing,"IT SKILLS Languages: C (Basic), JAVA (Basic) Web Technologies: HTML5, CSS3, Bootstrap, JavaScript, jQuery, Corel Draw, Photoshop, Illustrator Databases: MySQL5.0 IDE & Tools: Sublime Text, Notepad Operating Systems: Windows XP, Windows 7Education Details 
September 2015 Bachelor of Engineer Informa..."
Alex Johnson,alex.johnson@gmail.com,+1-555-1165,"Los Angeles, CA","Java, JavaScript, Go, Rust, Angular, HTML, CSS, jQuery, Bootstrap, Git, Photoshop",7,B.E,Web Designing,"Technical Skills Web Technologies: Angular JS, HTML5, CSS3, SASS, Bootstrap, Jquery, Javascript. Software: Brackets, Visual Studio, Photoshop, Visual Studio Code Education Details 
January 2015 B.E CSE Nagpur, Maharashtra G.H.Raisoni College of Engineering
October 2009  Photography Competition Cli..."
Sarah Chen,sarah.chen@yahoo.com,+1-555-1166,"Chicago, IL","Java, JavaScript, PHP, Go, HTML, CSS, jQuery, Bootstrap, MySQL, Windows",8,Ba,Web Designing,"Education Details 
 B.C.A Bachelor Computer Application Pune, Maharashtra Pune University
 H.S.C.  Pune, Maharashtra Pune University
 S.S.C.  Pune, Maharashtra Pune University
Web Designing and Developer 

php Developer - Exposys Pvt. Ltd
Skill Details 
Company Details 
company - Exposys Pv..."
Michael Rodriguez,michael.r@hotmail.com,+1-555-1167,"Denver, CO","Java, JavaScript, Go, Rust, Angular, HTML, CSS, jQuery, Bootstrap, Git, Photoshop",8,B.E,Web Designing,"Technical Skills Web Technologies: Angular JS, HTML5, CSS3, SASS, Bootstrap, Jquery, Javascript. Software: Brackets, Visual Studio, Photoshop, Visual Studio Code Education Details 
January 2015 B.E CSE Nagpur, Maharashtra G.H.Raisoni College of Engineering
October 2009  Photography Competition Cli..."
Emily Davis,emily.davis@outlook.com,+1-555-1168,"Atlanta, GA","PHP, REST",4,Mba,Web Designing,"Education Details 
January 2016 B.Sc. Information Technology Mumbai, Maharashtra University of Mumbai
January 2012 HSC  Allahabad, Uttar Pradesh Allahabad university
January 2010 SSC dot Net Allahabad, Uttar Pradesh Allahabad university
Web designer and Developer Trainer 

Web designer and Dev..."
David Kim,david.kim@company.com,+1-555-1169,"Portland, OR","Java, JavaScript, C++, Go, HTML, CSS, jQuery, Bootstrap, MySQL, Windows, Agile, Photoshop, Illustrator",8,Ba,Web Designing,"IT SKILLS Languages: C (Basic), JAVA (Basic) Web Technologies: HTML5, CSS3, Bootstrap, JavaScript, jQuery, Corel Draw, Photoshop, Illustrator Databases: MySQL5.0 IDE & Tools: Sublime Text, Notepad Operating Systems: Windows XP, Windows 7Education Details 
September 2015 Bachelor of Engineer Informa..."
Jessica Martinez,alex.johnson@gmail.com,+1-555-1170,"San Francisco, CA","Java, JavaScript, Go, Rust, Angular, HTML, CSS, jQuery, Bootstrap, Git, Photoshop",9,B.E,Web Designing,"Technical Skills Web Technologies: Angular JS, HTML5, CSS3, SASS, Bootstrap, Jquery, Javascript. Software: Brackets, Visual Studio, Photoshop, Visual Studio Code Education Details 
January 2015 B.E CSE Nagpur, Maharashtra G.H.Raisoni College of Engineering
October 2009  Photography Competition Cli..."
Ryan Patel,sarah.chen@yahoo.com,+1-555-1171,"New York, NY","Java, JavaScript, PHP, Go, HTML, CSS, jQuery, Bootstrap, MySQL, Windows",9,Ba,Web Designing,"Education Details 
 B.C.A Bachelor Computer Application Pune, Maharashtra Pune University
 H.S.C.  Pune, Maharashtra Pune University
 S.S.C.  Pune, Maharashtra Pune University
Web Designing and Developer 

php Developer - Exposys Pvt. Ltd
Skill Details 
Company Details 
company - Exposys Pv..."
Amanda Wilson,michael.r@hotmail.com,+1-555-1172,"Seattle, WA","Java, JavaScript, Go, Rust, Angular, HTML, CSS, jQuery, Bootstrap, Git, Photoshop",6,B.E,Web Designing,"Technical Skills Web Technologies: Angular JS, HTML5, CSS3, SASS, Bootstrap, Jquery, Javascript. Software: Brackets, Visual Studio, Photoshop, Visual Studio Code Education Details 
January 2015 B.E CSE Nagpur, Maharashtra G.H.Raisoni College of Engineering
October 2009  Photography Competition Cli..."
Kevin Lee,emily.davis@outlook.com,+1-555-1173,"Austin, TX","PHP, REST",4,Mba,Web Designing,"Education Details 
January 2016 B.Sc. Information Technology Mumbai, Maharashtra University of Mumbai
January 2012 HSC  Allahabad, Uttar Pradesh Allahabad university
January 2010 SSC dot Net Allahabad, Uttar Pradesh Allahabad university
Web designer and Developer Trainer 

Web designer and Dev..."
Lisa Thompson,david.kim@company.com,+1-555-1174,"Boston, MA","Java, JavaScript, C++, Go, HTML, CSS, jQuery, Bootstrap, MySQL, Windows, Agile, Photoshop, Illustrator",7,Ba,Web Designing,"IT SKILLS Languages: C (Basic), JAVA (Basic) Web Technologies: HTML5, CSS3, Bootstrap, JavaScript, jQuery, Corel Draw, Photoshop, Illustrator Databases: MySQL5.0 IDE & Tools: Sublime Text, Notepad Operating Systems: Windows XP, Windows 7Education Details 
September 2015 Bachelor of Engineer Informa..."
James Anderson,alex.johnson@gmail.com,+1-555-1175,"Los Angeles, CA","Java, JavaScript, Go, Rust, Angular, HTML, CSS, jQuery, Bootstrap, Git, Photoshop",8,B.E,Web Designing,"Technical Skills Web Technologies: Angular JS, HTML5, CSS3, SASS, Bootstrap, Jquery, Javascript. Software: Brackets, Visual Studio, Photoshop, Visual Studio Code Education Details 
January 2015 B.E CSE Nagpur, Maharashtra G.H.Raisoni College of Engineering
October 2009  Photography Competition Cli..."
Maria Garcia,sarah.chen@yahoo.com,+1-555-1176,"Chicago, IL","Java, JavaScript, PHP, Go, HTML, CSS, jQuery, Bootstrap, MySQL, Windows",5,Ba,Web Designing,"Education Details 
 B.C.A Bachelor Computer Application Pune, Maharashtra Pune University
 H.S.C.  Pune, Maharashtra Pune University
 S.S.C.  Pune, Maharashtra Pune University
Web Designing and Developer 

php Developer - Exposys Pvt. Ltd
Skill Details 
Company Details 
company - Exposys Pv..."
Robert Taylor,michael.r@hotmail.com,+1-555-1177,"Denver, CO","Java, JavaScript, Go, Rust, Angular, HTML, CSS, jQuery, Bootstrap, Git, Photoshop",5,B.E,Web Designing,"Technical Skills Web Technologies: Angular JS, HTML5, CSS3, SASS, Bootstrap, Jquery, Javascript. Software: Brackets, Visual Studio, Photoshop, Visual Studio Code Education Details 
January 2015 B.E CSE Nagpur, Maharashtra G.H.Raisoni College of Engineering
October 2009  Photography Competition Cli..."
Jennifer Brown,emily.davis@outlook.com,+1-555-1178,"Atlanta, GA","PHP, REST",2,Mba,Web Designing,"Education Details 
January 2016 B.Sc. Information Technology Mumbai, Maharashtra University of Mumbai
January 2012 HSC  Allahabad, Uttar Pradesh Allahabad university
January 2010 SSC dot Net Allahabad, Uttar Pradesh Allahabad university
Web designer and Developer Trainer 

Web designer and Dev..."
Christopher Moore,david.kim@company.com,+1-555-1179,"Portland, OR","Java, JavaScript, C++, Go, HTML, CSS, jQuery, Bootstrap, MySQL, Windows, Agile, Photoshop, Illustrator",5,Ba,Web Designing,"IT SKILLS Languages: C (Basic), JAVA (Basic) Web Technologies: HTML5, CSS3, Bootstrap, JavaScript, jQuery, Corel Draw, Photoshop, Illustrator Databases: MySQL5.0 IDE & Tools: Sublime Text, Notepad Operating Systems: Windows XP, Windows 7Education Details 
September 2015 Bachelor of Engineer Informa..."
Alex Johnson,alex.johnson@gmail.com,+1-555-1180,"San Francisco, CA","Java, JavaScript, Go, Rust, Angular, HTML, CSS, jQuery, Bootstrap, Git, Photoshop",9,B.E,Web Designing,"Technical Skills Web Technologies: Angular JS, HTML5, CSS3, SASS, Bootstrap, Jquery, Javascript. Software: Brackets, Visual Studio, Photoshop, Visual Studio Code Education Details 
January 2015 B.E CSE Nagpur, Maharashtra G.H.Raisoni College of Engineering
October 2009  Photography Competition Cli..."
Sarah Chen,sarah.chen@yahoo.com,+1-555-1181,"New York, NY","Java, JavaScript, PHP, Go, HTML, CSS, jQuery, Bootstrap, MySQL, Windows",7,Ba,Web Designing,"Education Details 
 B.C.A Bachelor Computer Application Pune, Maharashtra Pune University
 H.S.C.  Pune, Maharashtra Pune University
 S.S.C.  Pune, Maharashtra Pune University
Web Designing and Developer 

php Developer - Exposys Pvt. Ltd
Skill Details 
Company Details 
company - Exposys Pv..."
Michael Rodriguez,michael.r@hotmail.com,+1-555-1182,"Seattle, WA","Java, JavaScript, Go, Rust, Angular, HTML, CSS, jQuery, Bootstrap, Git, Photoshop",6,B.E,Web Designing,"Technical Skills Web Technologies: Angular JS, HTML5, CSS3, SASS, Bootstrap, Jquery, Javascript. Software: Brackets, Visual Studio, Photoshop, Visual Studio Code Education Details 
January 2015 B.E CSE Nagpur, Maharashtra G.H.Raisoni College of Engineering
October 2009  Photography Competition Cli..."
Emily Davis,emily.davis@outlook.com,+1-555-1183,"Austin, TX","PHP, REST",4,Mba,Web Designing,"Education Details 
January 2016 B.Sc. Information Technology Mumbai, Maharashtra University of Mumbai
January 2012 HSC  Allahabad, Uttar Pradesh Allahabad university
January 2010 SSC dot Net Allahabad, Uttar Pradesh Allahabad university
Web designer and Developer Trainer 

Web designer and Dev..."
David Kim,david.kim@company.com,+1-555-1184,"Boston, MA","Java, JavaScript, C++, Go, HTML, CSS, jQuery, Bootstrap, MySQL, Windows, Agile, Photoshop, Illustrator",6,Ba,Web Designing,"IT SKILLS Languages: C (Basic), JAVA (Basic) Web Technologies: HTML5, CSS3, Bootstrap, JavaScript, jQuery, Corel Draw, Photoshop, Illustrator Databases: MySQL5.0 IDE & Tools: Sublime Text, Notepad Operating Systems: Windows XP, Windows 7Education Details 
September 2015 Bachelor of Engineer Informa..."
Jessica Martinez,alex.johnson@gmail.com,+1-555-1185,"Los Angeles, CA","Go, Git",5,Mba,Mechanical Engineer,"Education Details 
May 1999 to September 2002 Diploma Mechanical Engg Mumbai, Maharashtra Institute of Mechanical Engg
May 1998 to May 1999 Diploma Mechanical Engg. Services  ITES
May 1993 to May 1995   Mumbai, Maharashtra Industrial Training Institute
Sr. Executive-Mechanical Engineering- Autom..."
Ryan Patel,sarah.chen@yahoo.com,+1-555-1186,"Chicago, IL",Not specified,5,B.E,Mechanical Engineer,"SKILLS: â¢ Knowledge of software / computer: Auto CAD (Included Diploma Academic Syllabus) â¢ MSCIT â¢ CNC Programming (Fanuc Series) - milling STRENGTHS: â¢ Strong Dedication towards work. â¢ Quick Learner. â¢ Positive thinking and self-confidence. â¢ Honest, discipline and hardworking. INDU..."
Amanda Wilson,michael.r@hotmail.com,+1-555-1187,"Denver, CO",Not specified,4,"Bachelor'S Of Engineering Engineering Mumbai, Maharashtra Mgm College Of Engineering
 Diploma Mechanical Pune, Maharashtra Mit
President Of Mechanical Engineering Student'S Association 

President Of Mechanical Engineering Student'S Association
Skill Details 
Company Details 
Company - Full Throttle
Description - Conducted By Iit
Bombay",Mechanical Engineer,"Education Details 
January 2018 Bachelor's of Engineering Engineering Mumbai, Maharashtra MGM College of Engineering
 Diploma Mechanical Pune, Maharashtra MIT
President of Mechanical Engineering Student's Association 

President of Mechanical Engineering Student's Association
Skill Details 
C..."
Kevin Lee,emily.davis@outlook.com,+1-555-1188,"Atlanta, GA",Go,1,Mba,Mechanical Engineer,"Education Details 
June 2014 to June 2018 BE Mechanical Engineering Pune, Maharashtra Savitribai Phule Pune University
Mechanical Design Engineer 

Mechanical design engineer
Skill Details 
Microsoft office, Autocad, Catia, Solidworks- Exprience - 6 monthsCompany Details 
company - Push Engin..."
Lisa Thompson,david.kim@company.com,+1-555-1189,"Portland, OR",Go,1,Mba,Mechanical Engineer,"* I'm hard working person. * I'm self confident and can mould myself to all work environments.Education Details 
January 2016 B.E MECHANICAL ENGINEERING  ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY
January 2010 H.S.C.  Mumbai, Maharashtra MUMBAI UNIVERSITY Secured
January 2008 S.S.C. ..."
James Anderson,alex.johnson@gmail.com,+1-555-1190,"San Francisco, CA","Go, Git",7,Mba,Mechanical Engineer,"Education Details 
May 1999 to September 2002 Diploma Mechanical Engg Mumbai, Maharashtra Institute of Mechanical Engg
May 1998 to May 1999 Diploma Mechanical Engg. Services  ITES
May 1993 to May 1995   Mumbai, Maharashtra Industrial Training Institute
Sr. Executive-Mechanical Engineering- Autom..."
Maria Garcia,sarah.chen@yahoo.com,+1-555-1191,"New York, NY",Not specified,6,B.E,Mechanical Engineer,"SKILLS: â¢ Knowledge of software / computer: Auto CAD (Included Diploma Academic Syllabus) â¢ MSCIT â¢ CNC Programming (Fanuc Series) - milling STRENGTHS: â¢ Strong Dedication towards work. â¢ Quick Learner. â¢ Positive thinking and self-confidence. â¢ Honest, discipline and hardworking. INDU..."
Robert Taylor,michael.r@hotmail.com,+1-555-1192,"Seattle, WA",Not specified,1,"Bachelor'S Of Engineering Engineering Mumbai, Maharashtra Mgm College Of Engineering
 Diploma Mechanical Pune, Maharashtra Mit
President Of Mechanical Engineering Student'S Association 

President Of Mechanical Engineering Student'S Association
Skill Details 
Company Details 
Company - Full Throttle
Description - Conducted By Iit
Bombay",Mechanical Engineer,"Education Details 
January 2018 Bachelor's of Engineering Engineering Mumbai, Maharashtra MGM College of Engineering
 Diploma Mechanical Pune, Maharashtra MIT
President of Mechanical Engineering Student's Association 

President of Mechanical Engineering Student's Association
Skill Details 
C..."
Jennifer Brown,emily.davis@outlook.com,+1-555-1193,"Austin, TX",Go,1,Mba,Mechanical Engineer,"Education Details 
June 2014 to June 2018 BE Mechanical Engineering Pune, Maharashtra Savitribai Phule Pune University
Mechanical Design Engineer 

Mechanical design engineer
Skill Details 
Microsoft office, Autocad, Catia, Solidworks- Exprience - 6 monthsCompany Details 
company - Push Engin..."
Christopher Moore,david.kim@company.com,+1-555-1194,"Boston, MA",Go,1,Mba,Mechanical Engineer,"* I'm hard working person. * I'm self confident and can mould myself to all work environments.Education Details 
January 2016 B.E MECHANICAL ENGINEERING  ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY
January 2010 H.S.C.  Mumbai, Maharashtra MUMBAI UNIVERSITY Secured
January 2008 S.S.C. ..."
Alex Johnson,alex.johnson@gmail.com,+1-555-1195,"Los Angeles, CA","Go, Git",8,Mba,Mechanical Engineer,"Education Details 
May 1999 to September 2002 Diploma Mechanical Engg Mumbai, Maharashtra Institute of Mechanical Engg
May 1998 to May 1999 Diploma Mechanical Engg. Services  ITES
May 1993 to May 1995   Mumbai, Maharashtra Industrial Training Institute
Sr. Executive-Mechanical Engineering- Autom..."
Sarah Chen,sarah.chen@yahoo.com,+1-555-1196,"Chicago, IL",Not specified,7,B.E,Mechanical Engineer,"SKILLS: â¢ Knowledge of software / computer: Auto CAD (Included Diploma Academic Syllabus) â¢ MSCIT â¢ CNC Programming (Fanuc Series) - milling STRENGTHS: â¢ Strong Dedication towards work. â¢ Quick Learner. â¢ Positive thinking and self-confidence. â¢ Honest, discipline and hardworking. INDU..."
Michael Rodriguez,michael.r@hotmail.com,+1-555-1197,"Denver, CO",Not specified,3,"Bachelor'S Of Engineering Engineering Mumbai, Maharashtra Mgm College Of Engineering
 Diploma Mechanical Pune, Maharashtra Mit
President Of Mechanical Engineering Student'S Association 

President Of Mechanical Engineering Student'S Association
Skill Details 
Company Details 
Company - Full Throttle
Description - Conducted By Iit
Bombay",Mechanical Engineer,"Education Details 
January 2018 Bachelor's of Engineering Engineering Mumbai, Maharashtra MGM College of Engineering
 Diploma Mechanical Pune, Maharashtra MIT
President of Mechanical Engineering Student's Association 

President of Mechanical Engineering Student's Association
Skill Details 
C..."
Emily Davis,emily.davis@outlook.com,+1-555-1198,"Atlanta, GA",Go,1,Mba,Mechanical Engineer,"Education Details 
June 2014 to June 2018 BE Mechanical Engineering Pune, Maharashtra Savitribai Phule Pune University
Mechanical Design Engineer 

Mechanical design engineer
Skill Details 
Microsoft office, Autocad, Catia, Solidworks- Exprience - 6 monthsCompany Details 
company - Push Engin..."
David Kim,david.kim@company.com,+1-555-1199,"Portland, OR",Go,1,Mba,Mechanical Engineer,"* I'm hard working person. * I'm self confident and can mould myself to all work environments.Education Details 
January 2016 B.E MECHANICAL ENGINEERING  ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY
January 2010 H.S.C.  Mumbai, Maharashtra MUMBAI UNIVERSITY Secured
January 2008 S.S.C. ..."
Jessica Martinez,alex.johnson@gmail.com,+1-555-1200,"San Francisco, CA","Go, Git",8,Mba,Mechanical Engineer,"Education Details 
May 1999 to September 2002 Diploma Mechanical Engg Mumbai, Maharashtra Institute of Mechanical Engg
May 1998 to May 1999 Diploma Mechanical Engg. Services  ITES
May 1993 to May 1995   Mumbai, Maharashtra Industrial Training Institute
Sr. Executive-Mechanical Engineering- Autom..."
Ryan Patel,sarah.chen@yahoo.com,+1-555-1201,"New York, NY",Not specified,6,B.E,Mechanical Engineer,"SKILLS: â¢ Knowledge of software / computer: Auto CAD (Included Diploma Academic Syllabus) â¢ MSCIT â¢ CNC Programming (Fanuc Series) - milling STRENGTHS: â¢ Strong Dedication towards work. â¢ Quick Learner. â¢ Positive thinking and self-confidence. â¢ Honest, discipline and hardworking. INDU..."
Amanda Wilson,michael.r@hotmail.com,+1-555-1202,"Seattle, WA",Not specified,4,"Bachelor'S Of Engineering Engineering Mumbai, Maharashtra Mgm College Of Engineering
 Diploma Mechanical Pune, Maharashtra Mit
President Of Mechanical Engineering Student'S Association 

President Of Mechanical Engineering Student'S Association
Skill Details 
Company Details 
Company - Full Throttle
Description - Conducted By Iit
Bombay",Mechanical Engineer,"Education Details 
January 2018 Bachelor's of Engineering Engineering Mumbai, Maharashtra MGM College of Engineering
 Diploma Mechanical Pune, Maharashtra MIT
President of Mechanical Engineering Student's Association 

President of Mechanical Engineering Student's Association
Skill Details 
C..."
Kevin Lee,emily.davis@outlook.com,+1-555-1203,"Austin, TX",Go,1,Mba,Mechanical Engineer,"Education Details 
June 2014 to June 2018 BE Mechanical Engineering Pune, Maharashtra Savitribai Phule Pune University
Mechanical Design Engineer 

Mechanical design engineer
Skill Details 
Microsoft office, Autocad, Catia, Solidworks- Exprience - 6 monthsCompany Details 
company - Push Engin..."
Lisa Thompson,david.kim@company.com,+1-555-1204,"Boston, MA",Go,1,Mba,Mechanical Engineer,"* I'm hard working person. * I'm self confident and can mould myself to all work environments.Education Details 
January 2016 B.E MECHANICAL ENGINEERING  ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY
January 2010 H.S.C.  Mumbai, Maharashtra MUMBAI UNIVERSITY Secured
January 2008 S.S.C. ..."
James Anderson,alex.johnson@gmail.com,+1-555-1205,"Los Angeles, CA","Go, Git",10,Mba,Mechanical Engineer,"Education Details 
May 1999 to September 2002 Diploma Mechanical Engg Mumbai, Maharashtra Institute of Mechanical Engg
May 1998 to May 1999 Diploma Mechanical Engg. Services  ITES
May 1993 to May 1995   Mumbai, Maharashtra Industrial Training Institute
Sr. Executive-Mechanical Engineering- Autom..."
Maria Garcia,sarah.chen@yahoo.com,+1-555-1206,"Chicago, IL",Not specified,5,B.E,Mechanical Engineer,"SKILLS: â¢ Knowledge of software / computer: Auto CAD (Included Diploma Academic Syllabus) â¢ MSCIT â¢ CNC Programming (Fanuc Series) - milling STRENGTHS: â¢ Strong Dedication towards work. â¢ Quick Learner. â¢ Positive thinking and self-confidence. â¢ Honest, discipline and hardworking. INDU..."
Robert Taylor,michael.r@hotmail.com,+1-555-1207,"Denver, CO",Not specified,2,"Bachelor'S Of Engineering Engineering Mumbai, Maharashtra Mgm College Of Engineering
 Diploma Mechanical Pune, Maharashtra Mit
President Of Mechanical Engineering Student'S Association 

President Of Mechanical Engineering Student'S Association
Skill Details 
Company Details 
Company - Full Throttle
Description - Conducted By Iit
Bombay",Mechanical Engineer,"Education Details 
January 2018 Bachelor's of Engineering Engineering Mumbai, Maharashtra MGM College of Engineering
 Diploma Mechanical Pune, Maharashtra MIT
President of Mechanical Engineering Student's Association 

President of Mechanical Engineering Student's Association
Skill Details 
C..."
Jennifer Brown,emily.davis@outlook.com,+1-555-1208,"Atlanta, GA",Go,1,Mba,Mechanical Engineer,"Education Details 
June 2014 to June 2018 BE Mechanical Engineering Pune, Maharashtra Savitribai Phule Pune University
Mechanical Design Engineer 

Mechanical design engineer
Skill Details 
Microsoft office, Autocad, Catia, Solidworks- Exprience - 6 monthsCompany Details 
company - Push Engin..."
Christopher Moore,david.kim@company.com,+1-555-1209,"Portland, OR",Go,1,Mba,Mechanical Engineer,"* I'm hard working person. * I'm self confident and can mould myself to all work environments.Education Details 
January 2016 B.E MECHANICAL ENGINEERING  ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY
January 2010 H.S.C.  Mumbai, Maharashtra MUMBAI UNIVERSITY Secured
January 2008 S.S.C. ..."
Alex Johnson,alex.johnson@gmail.com,+1-555-1210,"San Francisco, CA","Go, Git",6,Mba,Mechanical Engineer,"Education Details 
May 1999 to September 2002 Diploma Mechanical Engg Mumbai, Maharashtra Institute of Mechanical Engg
May 1998 to May 1999 Diploma Mechanical Engg. Services  ITES
May 1993 to May 1995   Mumbai, Maharashtra Industrial Training Institute
Sr. Executive-Mechanical Engineering- Autom..."
Sarah Chen,sarah.chen@yahoo.com,+1-555-1211,"New York, NY",Not specified,6,B.E,Mechanical Engineer,"SKILLS: â¢ Knowledge of software / computer: Auto CAD (Included Diploma Academic Syllabus) â¢ MSCIT â¢ CNC Programming (Fanuc Series) - milling STRENGTHS: â¢ Strong Dedication towards work. â¢ Quick Learner. â¢ Positive thinking and self-confidence. â¢ Honest, discipline and hardworking. INDU..."
Michael Rodriguez,michael.r@hotmail.com,+1-555-1212,"Seattle, WA",Not specified,3,"Bachelor'S Of Engineering Engineering Mumbai, Maharashtra Mgm College Of Engineering
 Diploma Mechanical Pune, Maharashtra Mit
President Of Mechanical Engineering Student'S Association 

President Of Mechanical Engineering Student'S Association
Skill Details 
Company Details 
Company - Full Throttle
Description - Conducted By Iit
Bombay",Mechanical Engineer,"Education Details 
January 2018 Bachelor's of Engineering Engineering Mumbai, Maharashtra MGM College of Engineering
 Diploma Mechanical Pune, Maharashtra MIT
President of Mechanical Engineering Student's Association 

President of Mechanical Engineering Student's Association
Skill Details 
C..."
Emily Davis,emily.davis@outlook.com,+1-555-1213,"Austin, TX",Go,1,Mba,Mechanical Engineer,"Education Details 
June 2014 to June 2018 BE Mechanical Engineering Pune, Maharashtra Savitribai Phule Pune University
Mechanical Design Engineer 

Mechanical design engineer
Skill Details 
Microsoft office, Autocad, Catia, Solidworks- Exprience - 6 monthsCompany Details 
company - Push Engin..."
David Kim,david.kim@company.com,+1-555-1214,"Boston, MA",Go,1,Mba,Mechanical Engineer,"* I'm hard working person. * I'm self confident and can mould myself to all work environments.Education Details 
January 2016 B.E MECHANICAL ENGINEERING  ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY
January 2010 H.S.C.  Mumbai, Maharashtra MUMBAI UNIVERSITY Secured
January 2008 S.S.C. ..."
Jessica Martinez,alex.johnson@gmail.com,+1-555-1215,"Los Angeles, CA","Go, Git",6,Mba,Mechanical Engineer,"Education Details 
May 1999 to September 2002 Diploma Mechanical Engg Mumbai, Maharashtra Institute of Mechanical Engg
May 1998 to May 1999 Diploma Mechanical Engg. Services  ITES
May 1993 to May 1995   Mumbai, Maharashtra Industrial Training Institute
Sr. Executive-Mechanical Engineering- Autom..."
Ryan Patel,sarah.chen@yahoo.com,+1-555-1216,"Chicago, IL",Not specified,7,B.E,Mechanical Engineer,"SKILLS: â¢ Knowledge of software / computer: Auto CAD (Included Diploma Academic Syllabus) â¢ MSCIT â¢ CNC Programming (Fanuc Series) - milling STRENGTHS: â¢ Strong Dedication towards work. â¢ Quick Learner. â¢ Positive thinking and self-confidence. â¢ Honest, discipline and hardworking. INDU..."
Amanda Wilson,michael.r@hotmail.com,+1-555-1217,"Denver, CO",Not specified,3,"Bachelor'S Of Engineering Engineering Mumbai, Maharashtra Mgm College Of Engineering
 Diploma Mechanical Pune, Maharashtra Mit
President Of Mechanical Engineering Student'S Association 

President Of Mechanical Engineering Student'S Association
Skill Details 
Company Details 
Company - Full Throttle
Description - Conducted By Iit
Bombay",Mechanical Engineer,"Education Details 
January 2018 Bachelor's of Engineering Engineering Mumbai, Maharashtra MGM College of Engineering
 Diploma Mechanical Pune, Maharashtra MIT
President of Mechanical Engineering Student's Association 

President of Mechanical Engineering Student's Association
Skill Details 
C..."
Kevin Lee,emily.davis@outlook.com,+1-555-1218,"Atlanta, GA",Go,1,Mba,Mechanical Engineer,"Education Details 
June 2014 to June 2018 BE Mechanical Engineering Pune, Maharashtra Savitribai Phule Pune University
Mechanical Design Engineer 

Mechanical design engineer
Skill Details 
Microsoft office, Autocad, Catia, Solidworks- Exprience - 6 monthsCompany Details 
company - Push Engin..."
Lisa Thompson,david.kim@company.com,+1-555-1219,"Portland, OR",Go,1,Mba,Mechanical Engineer,"* I'm hard working person. * I'm self confident and can mould myself to all work environments.Education Details 
January 2016 B.E MECHANICAL ENGINEERING  ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY
January 2010 H.S.C.  Mumbai, Maharashtra MUMBAI UNIVERSITY Secured
January 2008 S.S.C. ..."
James Anderson,alex.johnson@gmail.com,+1-555-1220,"San Francisco, CA","Go, Git",10,Mba,Mechanical Engineer,"Education Details 
May 1999 to September 2002 Diploma Mechanical Engg Mumbai, Maharashtra Institute of Mechanical Engg
May 1998 to May 1999 Diploma Mechanical Engg. Services  ITES
May 1993 to May 1995   Mumbai, Maharashtra Industrial Training Institute
Sr. Executive-Mechanical Engineering- Autom..."
Maria Garcia,sarah.chen@yahoo.com,+1-555-1221,"New York, NY",Not specified,3,B.E,Mechanical Engineer,"SKILLS: â¢ Knowledge of software / computer: Auto CAD (Included Diploma Academic Syllabus) â¢ MSCIT â¢ CNC Programming (Fanuc Series) - milling STRENGTHS: â¢ Strong Dedication towards work. â¢ Quick Learner. â¢ Positive thinking and self-confidence. â¢ Honest, discipline and hardworking. INDU..."
Robert Taylor,michael.r@hotmail.com,+1-555-1222,"Seattle, WA",Not specified,2,"Bachelor'S Of Engineering Engineering Mumbai, Maharashtra Mgm College Of Engineering
 Diploma Mechanical Pune, Maharashtra Mit
President Of Mechanical Engineering Student'S Association 

President Of Mechanical Engineering Student'S Association
Skill Details 
Company Details 
Company - Full Throttle
Description - Conducted By Iit
Bombay",Mechanical Engineer,"Education Details 
January 2018 Bachelor's of Engineering Engineering Mumbai, Maharashtra MGM College of Engineering
 Diploma Mechanical Pune, Maharashtra MIT
President of Mechanical Engineering Student's Association 

President of Mechanical Engineering Student's Association
Skill Details 
C..."
Jennifer Brown,emily.davis@outlook.com,+1-555-1223,"Austin, TX",Go,1,Mba,Mechanical Engineer,"Education Details 
June 2014 to June 2018 BE Mechanical Engineering Pune, Maharashtra Savitribai Phule Pune University
Mechanical Design Engineer 

Mechanical design engineer
Skill Details 
Microsoft office, Autocad, Catia, Solidworks- Exprience - 6 monthsCompany Details 
company - Push Engin..."
Christopher Moore,david.kim@company.com,+1-555-1224,"Boston, MA",Go,1,Mba,Mechanical Engineer,"* I'm hard working person. * I'm self confident and can mould myself to all work environments.Education Details 
January 2016 B.E MECHANICAL ENGINEERING  ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY
January 2010 H.S.C.  Mumbai, Maharashtra MUMBAI UNIVERSITY Secured
January 2008 S.S.C. ..."
